lat,lon
-31.9745,-154.939891666667
-31.9704861111111,-154.976544444444
-31.9482361111111,-154.943552777778
-32.2772638888889,-154.814630555556
-32.2793583333333,-154.776425
-32.3169666666667,-154.841891666667
-32.1767583333333,-154.342897222222
-32.1989416666667,-154.343944444444
-32.2058388888889,-154.398794444444
-32.6838361111111,-156.060188888889
-32.6691277777778,-156.044344444444
-32.6925416666667,-156.085336111111
-32.614225,-155.620611111111
-32.6250555555556,-155.648430555556
-32.5960888888889,-155.597
-32.5831083333333,-155.643675
-32.9277666666667,-155.649355555556
-32.9315666666667,-155.674897222222
-32.9325027777778,-155.617677777778
-33.2139805555556,-155.56035
-33.2370055555556,-155.577480555556
-33.2245722222222,-155.595386111111
-32.9066361111111,-155.365169444444
-32.8737861111111,-155.366311111111
-32.6554027777778,-155.197622222222
-32.6581222222222,-155.170663888889
-32.6483472222222,-155.245041666667
-32.8693194444444,-155.181244444444
-32.8775611111111,-155.201794444444
-30.8337388888889,-154.33645
-30.8775944444444,-154.333497222222
-30.8357722222222,-154.372830555556
-30.5253916666667,-154.307702777778
-30.5157166666667,-154.287655555556
-30.4990111111111,-154.236041666667
-30.4850305555556,-154.241566666667
-30.4854527777778,-154.292244444444
-30.47195,-154.294461111111
-30.455425,-154.233638888889
-30.4246666666667,-154.251255555556
-33.3066555555556,-152.897094444444
-33.3403666666667,-152.927258333333
-33.9304666666667,-154.704358333333
-33.9464138888889,-154.709097222222
-33.6681083333333,-155.053380555556
-33.6250833333333,-155.076352777778
-33.6418388888889,-155.529461111111
-33.6702277777778,-155.521355555556
-33.4268583333333,-155.458677777778
-33.4334388888889,-155.294047222222
-33.5068833333333,-155.407369444444
-35.2588777777778,-156.239333333333
-35.257475,-156.267716666667
-35.2558722222222,-156.212566666667
-35.2803138888889,-156.9565
-35.2854666666667,-156.936191666667
-34.919525,-156.804805555556
-34.9289166666667,-156.8137
-34.9235083333333,-156.827
-33.5319277777778,-157.379708333333
-33.55405,-157.372263888889
-33.5505194444444,-157.396988888889
-33.4253833333333,-157.122227777778
-33.4538194444444,-157.1337
-33.273075,-157.280586111111
-33.29455,-157.286216666667
-33.2537888888889,-157.262544444444
-33.252075,-157.163275
-33.2504611111111,-157.137005555556
-33.2647472222222,-157.151816666667
-33.2111027777778,-157.051738888889
-33.2185166666667,-157.083111111111
-33.5558166666667,-156.357319444444
-33.5706,-156.306533333333
-33.3191388888889,-156.036311111111
-33.3212916666667,-156.061266666667
-33.3324361111111,-156.109811111111
-33.3265944444444,-156.137777777778
-33.2478138888889,-156.094958333333
-33.242825,-156.144011111111
-33.2221805555556,-156.130069444444
-33.2178111111111,-156.510438888889
-33.2092666666667,-156.489322222222
-32.6897861111111,-156.797636111111
-32.6876638888889,-156.810491666667
-32.9678611111111,-157.129825
-32.9708527777778,-157.142591666667
-33.1497833333333,-158.123041666667
-33.1401361111111,-158.120863888889
-33.0982722222222,-158.163522222222
-33.1043166666667,-158.162002777778
-32.8526194444444,-158.273644444444
-32.869325,-158.2161
-32.3013083333333,-158.387694444444
-32.2942222222222,-158.395977777778
-32.4239444444444,-158.319569444444
-32.4015611111111,-158.336569444444
-32.9711222222222,-152.623413888889
-32.9789638888889,-152.633325
-33.2430527777778,-154.817997222222
-33.2463194444444,-154.796069444444
-30.8388111111111,-154.337588888889
-30.8735083333333,-154.332955555556
-30.833825,-154.379352777778
-30.8582666666667,-154.398011111111
-32.7479611111111,-154.856802777778
-32.7632722222222,-154.853625
